Textbox_UWAGA2,Textbox_PARAMETRY
RETAIL PRICES OF SELECTED CONSUMER NON-FOODSTUFFS AND SERVICES - MONTHLY [ZL],"Year: 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023
Month: I, II, III, IV, V, VI, VII, VIII, IX, X, XI, XII
Territorial unit: Poland"

Textbox2,KOD_TOWARY_NZYWN,KOD_ROKU,WARTOSC_OST_blok9
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2022 IX,112.61
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2022 X,113.21
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2022 XI,114.16
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2022 XII,115.61
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2023 I,117.05
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2023 II,118.73
Specification,"Bed linen, cotton 100% (three part set, linen-cover 160x210 cm size and 2 pillows 70x80 cm size) – per set",2023 III,120.47
Specification,"Fridge-freezer, capacity about 440 l",2010 I,1259.33
Specification,"Fridge-freezer, capacity about 440 l",2010 II,1255.67
Specification,"Fridge-freezer, capacity about 440 l",2010 III,1250.49
Specification,"Fridge-freezer, capacity about 440 l",2010 IV,1226.60
Specification,"Fridge-freezer, capacity about 440 l",2010 V,1215.18
Specification,"Fridge-freezer, capacity about 440 l",2010 VI,1223.84
Specification,"Fridge-freezer, capacity about 440 l",2010 VII,1228.68
Specification,"Fridge-freezer, capacity about 440 l",2010 VIII,1224.26
Specification,"Fridge-freezer, capacity about 440 l",2010 IX,1242.18
Specification,"Fridge-freezer, capacity about 440 l",2010 X,1251.49
Specification,"Fridge-freezer, capacity about 440 l",2010 XI,1262.15
Specification,"Fridge-freezer, capacity about 440 l",2010 XII,1272.19
Specification,"Fridge-freezer, capacity about 440 l",2011 I,1127.78
Specification,"Fridge-freezer, capacity about 440 l",2011 II,1130.53
Specification,"Fridge-freezer, capacity about 440 l",2011 III,1129.51
Specification,"Fridge-freezer, capacity about 440 l",2011 IV,1107.60
Specification,"Fridge-freezer, capacity about 440 l",2011 V,1108.60
Specification,"Fridge-freezer, capacity about 440 l",2011 VI,1091.90
Specification,"Fridge-freezer, capacity about 440 l",2011 VII,1081.81
Specification,"Fridge-freezer, capacity about 440 l",2011 VIII,1078.37
Specification,"Fridge-freezer, capacity about 440 l",2011 IX,1074.87
Specification,"Fridge-freezer, capacity about 440 l",2011 X,1073.36
Specification,"Fridge-freezer, capacity about 440 l",2011 XI,1069.68
Specification,"Fridge-freezer, capacity about 440 l",2011 XII,1064.64
Specification,"Fridge-freezer, capacity about 440 l",2012 I,1057.92
Specification,"Fridge-freezer, capacity about 440 l",2012 II,1059.65
Specification,"Fridge-freezer, capacity about 440 l",2012 III,1057.37
Specification,"Fridge-freezer, capacity about 440 l",2012 IV,1059.24
Specification,"Fridge-freezer, capacity about 440 l",2012 V,1059.54
Specification,"Fridge-freezer, capacity about 440 l",2012 VI,1062.28
Specification,"Fridge-freezer, capacity about 440 l",2012 VII,1063.42
Specification,"Fridge-freezer, capacity about 440 l",2012 VIII,1064.35
Specification,"Fridge-freezer, capacity about 440 l",2012 IX,1070.58
Specification,"Fridge-freezer, capacity about 440 l",2012 X,1069.75
Specification,"Fridge-freezer, capacity about 440 l",2012 XI,1063.32
Specification,"Fridge-freezer, capacity about 440 l",2012 XII,1070.24
Specification,"Fridge-freezer, capacity about 440 l",2013 I,1061.79
Specification,"Fridge-freezer, capacity about 440 l",2013 II,1061.78
Specification,"Fridge-freezer, capacity about 440 l",2013 III,1060.29
Specification,"Fridge-freezer, capacity about 440 l",2013 IV,1060.13
Specification,"Fridge-freezer, capacity about 440 l",2013 V,1063.54
Specification,"Fridge-freezer, capacity about 440 l",2013 VI,1056.67
Specification,"Fridge-freezer, capacity about 440 l",2013 VII,1057.74
Specification,"Fridge-freezer, capacity about 440 l",2013 VIII,1052.75
Specification,"Fridge-freezer, capacity about 440 l",2013 IX,1056.64
Specification,"Fridge-freezer, capacity about 440 l",2013 X,1046.26
Specification,"Fridge-freezer, capacity about 440 l",2013 XI,1041.84
Specification,"Fridge-freezer, capacity about 440 l",2013 XII,1041.71
Specification,"Fridge-freezer, capacity about 440 l",2014 I,1052.42
Specification,"Fridge-freezer, capacity about 440 l",2014 II,1055.11
Specification,"Fridge-freezer, capacity about 440 l",2014 III,1054.42
Specification,"Fridge-freezer, capacity about 440 l",2014 IV,1055.82
Specification,"Fridge-freezer, capacity about 440 l",2014 V,1057.95
Specification,"Fridge-freezer, capacity about 440 l",2014 VI,1065.82
Specification,"Fridge-freezer, capacity about 440 l",2014 VII,1050.67
Specification,"Fridge-freezer, capacity about 440 l",2014 VIII,1064.82
Specification,"Fridge-freezer, capacity about 440 l",2014 IX,1058.18
Specification,"Fridge-freezer, capacity about 440 l",2014 X,1055.93
Specification,"Fridge-freezer, capacity about 440 l",2014 XI,1056.10
Specification,"Fridge-freezer, capacity about 440 l",2014 XII,1058.09
Specification,"Fridge-freezer, capacity about 440 l",2015 I,1103.44
Specification,"Fridge-freezer, capacity about 440 l",2015 II,1104.18
Specification,"Fridge-freezer, capacity about 440 l",2015 III,1115.00
Specification,"Fridge-freezer, capacity about 440 l",2015 IV,1120.18
Specification,"Fridge-freezer, capacity about 440 l",2015 V,1115.71
Specification,"Fridge-freezer, capacity about 440 l",2015 VI,1108.27
Specification,"Fridge-freezer, capacity about 440 l",2015 VII,1103.36
Specification,"Fridge-freezer, capacity about 440 l",2015 VIII,1079.65
Specification,"Fridge-freezer, capacity about 440 l",2015 IX,1077.63
Specification,"Fridge-freezer, capacity about 440 l",2015 X,1079.76
Specification,"Fridge-freezer, capacity about 440 l",2015 XI,1107.19
Specification,"Fridge-freezer, capacity about 440 l",2015 XII,1112.46
Specification,"Fridge-freezer, capacity about 440 l",2016 I,1092.26
Specification,"Fridge-freezer, capacity about 440 l",2016 II,1081.98
Specification,"Fridge-freezer, capacity about 440 l",2016 III,1085.33
Specification,"Fridge-freezer, capacity about 440 l",2016 IV,1114.71
Specification,"Fridge-freezer, capacity about 440 l",2016 V,1122.31
Specification,"Fridge-freezer, capacity about 440 l",2016 VI,1124.16
Specification,"Fridge-freezer, capacity about 440 l",2016 VII,1122.51
Specification,"Fridge-freezer, capacity about 440 l",2016 VIII,1119.09
Specification,"Fridge-freezer, capacity about 440 l",2016 IX,1106.66
Specification,"Fridge-freezer, capacity about 440 l",2016 X,1118.61
Specification,"Fridge-freezer, capacity about 440 l",2016 XI,1114.67
Specification,"Fridge-freezer, capacity about 440 l",2016 XII,1098.20
Specification,"Fridge-freezer, capacity about 440 l",2017 I,1700.60
Specification,"Fridge-freezer, capacity about 440 l",2017 II,1691.41
Specification,"Fridge-freezer, capacity about 440 l",2017 III,1700.34
Specification,"Fridge-freezer, capacity about 440 l",2017 IV,1694.96
Specification,"Fridge-freezer, capacity about 440 l",2017 V,1705.72
Specification,"Fridge-freezer, capacity about 440 l",2017 VI,1657.74
Specification,"Fridge-freezer, capacity about 440 l",2017 VII,1619.69
Specification,"Fridge-freezer, capacity about 440 l",2017 VIII,1618.80
Specification,"Fridge-freezer, capacity about 440 l",2017 IX,1609.12
Specification,"Fridge-freezer, capacity about 440 l",2017 X,1595.92
Specification,"Fridge-freezer, capacity about 440 l",2017 XI,1589.80
Specification,"Fridge-freezer, capacity about 440 l",2017 XII,1589.52
Specification,"Fridge-freezer, capacity about 440 l",2018 I,1625.55
Specification,"Fridge-freezer, capacity about 440 l",2018 II,1636.96
Specification,"Fridge-freezer, capacity about 440 l",2018 III,1634.45
Specification,"Fridge-freezer, capacity about 440 l",2018 IV,1656.26
Specification,"Fridge-freezer, capacity about 440 l",2018 V,1641.81
Specification,"Fridge-freezer, capacity about 440 l",2018 VI,1649.88
Specification,"Fridge-freezer, capacity about 440 l",2018 VII,1638.99
Specification,"Fridge-freezer, capacity about 440 l",2018 VIII,1646.76
Specification,"Fridge-freezer, capacity about 440 l",2018 IX,1643.67
Specification,"Fridge-freezer, capacity about 440 l",2018 X,1623.36
Specification,"Fridge-freezer, capacity about 440 l",2018 XI,1636.88
Specification,"Fridge-freezer, capacity about 440 l",2018 XII,1633.52
Specification,"Fridge-freezer, capacity about 440 l",2019 I,1634.73
Specification,"Fridge-freezer, capacity about 440 l",2019 II,1636.78
Specification,"Fridge-freezer, capacity about 440 l",2019 III,1642.82
Specification,"Fridge-freezer, capacity about 440 l",2019 IV,1636.69
Specification,"Fridge-freezer, capacity about 440 l",2019 V,1652.06
Specification,"Fridge-freezer, capacity about 440 l",2019 VI,1651.77
Specification,"Fridge-freezer, capacity about 440 l",2019 VII,1636.92
Specification,"Fridge-freezer, capacity about 440 l",2019 VIII,1638.18
Specification,"Fridge-freezer, capacity about 440 l",2019 IX,1659.86
Specification,"Fridge-freezer, capacity about 440 l",2019 X,1655.26
Specification,"Fridge-freezer, capacity about 440 l",2019 XI,1653.82
Specification,"Fridge-freezer, capacity about 440 l",2019 XII,1658.91
Specification,"Fridge-freezer, capacity about 440 l",2020 I,1629.96
Specification,"Fridge-freezer, capacity about 440 l",2020 II,1644.07
Specification,"Fridge-freezer, capacity about 440 l",2020 III,1648.29
Specification,"Fridge-freezer, capacity about 440 l",2020 IV,1643.75
Specification,"Fridge-freezer, capacity about 440 l",2020 V,1670.70
Specification,"Fridge-freezer, capacity about 440 l",2020 VI,1687.16
Specification,"Fridge-freezer, capacity about 440 l",2020 VII,1702.84
Specification,"Fridge-freezer, capacity about 440 l",2020 VIII,1687.49
Specification,"Fridge-freezer, capacity about 440 l",2020 IX,1694.69
Specification,"Fridge-freezer, capacity about 440 l",2020 X,1700.81
Specification,"Fridge-freezer, capacity about 440 l",2020 XI,1689.12
Specification,"Fridge-freezer, capacity about 440 l",2020 XII,1700.73
Specification,"Fridge-freezer, capacity about 440 l",2021 I,1683.40
Specification,"Fridge-freezer, capacity about 440 l",2021 II,1701.29
Specification,"Fridge-freezer, capacity about 440 l",2021 III,1694.96
Specification,"Fridge-freezer, capacity about 440 l",2021 IV,1706.60
Specification,"Fridge-freezer, capacity about 440 l",2021 V,1694.13
Specification,"Fridge-freezer, capacity about 440 l",2021 VI,1705.44
Specification,"Fridge-freezer, capacity about 440 l",2021 VII,1712.33
Specification,"Fridge-freezer, capacity about 440 l",2021 VIII,1756.50
Specification,"Fridge-freezer, capacity about 440 l",2021 IX,1766.06
Specification,"Fridge-freezer, capacity about 440 l",2021 X,1794.95
Specification,"Fridge-freezer, capacity about 440 l",2021 XI,1805.23
Specification,"Fridge-freezer, capacity about 440 l",2021 XII,1801.66
Specification,"Fridge-freezer, capacity about 440 l",2022 I,1837.35
Specification,"Fridge-freezer, capacity about 440 l",2022 II,1882.24
Specification,"Fridge-freezer, capacity about 440 l",2022 III,1929.31
Specification,"Fridge-freezer, capacity about 440 l",2022 IV,1938.42
Specification,"Fridge-freezer, capacity about 440 l",2022 V,1909.36
Specification,"Fridge-freezer, capacity about 440 l",2022 VI,1924.47
Specification,"Fridge-freezer, capacity about 440 l",2022 VII,1928.58
Specification,"Fridge-freezer, capacity about 440 l",2022 VIII,1960.90
Specification,"Fridge-freezer, capacity about 440 l",2022 IX,2019.38
Specification,"Fridge-freezer, capacity about 440 l",2022 X,2024.20
Specification,"Fridge-freezer, capacity about 440 l",2022 XI,2076.14
Specification,"Fridge-freezer, capacity about 440 l",2022 XII,2112.38
Specification,"Fridge-freezer, capacity about 440 l",2023 I,3472.23
Specification,"Fridge-freezer, capacity about 440 l",2023 II,3533.99
Specification,"Fridge-freezer, capacity about 440 l",2023 III,3603.63
Specification,Automatic washing machine,2010 I,1190.08
Specification,Automatic washing machine,2010 II,1179.56
Specification,Automatic washing machine,2010 III,1178.47
Specification,Automatic washing machine,2010 IV,1171.06
Specification,Automatic washing machine,2010 V,1163.91
Specification,Automatic washing machine,2010 VI,1154.05
Specification,Automatic washing machine,2010 VII,1158.92
Specification,Automatic washing machine,2010 VIII,1161.65
Specification,Automatic washing machine,2010 IX,1149.74
Specification,Automatic washing machine,2010 X,1148.11
Specification,Automatic washing machine,2010 XI,1142.10
Specification,Automatic washing machine,2010 XII,1129.93
Specification,Automatic washing machine,2011 I,1128.18
Specification,Automatic washing machine,2011 II,1122.19
Specification,Automatic washing machine,2011 III,1118.29
Specification,Automatic washing machine,2011 IV,1126.38
Specification,Automatic washing machine,2011 V,1117.14
Specification,Automatic washing machine,2011 VI,1123.36
Specification,Automatic washing machine,2011 VII,1121.43
Specification,Automatic washing machine,2011 VIII,1115.07
Specification,Automatic washing machine,2011 IX,1116.98
Specification,Automatic washing machine,2011 X,1118.34
Specification,Automatic washing machine,2011 XI,1113.12
Specification,Automatic washing machine,2011 XII,1110.49
Specification,Automatic washing machine,2012 I,1115.29
Specification,Automatic washing machine,2012 II,1105.60
Specification,Automatic washing machine,2012 III,1110.62
Specification,Automatic washing machine,2012 IV,1107.21
Specification,Automatic washing machine,2012 V,1106.65
Specification,Automatic washing machine,2012 VI,1103.71
Specification,Automatic washing machine,2012 VII,1105.48
Specification,Automatic washing machine,2012 VIII,1103.90
Specification,Automatic washing machine,2012 IX,1111.54
Specification,Automatic washing machine,2012 X,1102.63
